2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2009-01-05","447996","450000","434004","438000","94","182.5"
"2009-01-06","444000","444996","438000","441000","177","183.8"
"2009-01-07","444996","452004","431004","432996","399","180.4"
"2009-01-08","435000","435000","419004","422004","393","175.8"
"2009-01-09","426996","426996","407004","408996","308","170.4"
"2009-01-13","389004","392004","377004","378000","454","157.5"
"2009-01-14","380004","389004","380004","384996","374","160.4"
"2009-01-15","372000","381996","369000","381000","362","158.8"
"2009-01-16","381996","387000","378000","386004","289","160.8"
"2009-01-19","390996","393000","378996","378996","166","157.9"
"2009-01-20","375000","378000","362004","366996","255","152.9"
"2009-01-21","359004","371004","354996","365004","252","152.1"
"2009-01-22","369996","372000","366000","369996","168","154.2"
"2009-01-23","365004","365004","357996","360996","260","150.4"
"2009-01-26","365004","365004","326004","333996","562","139.2"
"2009-01-27","336000","336996","321000","324996","808","135.4"
"2009-01-28","339996","372996","336000","372000","1059","155"
"2009-01-29","377004","381996","360996","378000","495","157.5"
"2009-01-30","371004","387996","363996","384996","371","160.4"
"2009-02-02","360000","360996","335004","335004","1369","139.6"
"2009-02-03","315000","315996","285000","285000","4008","118.8"
"2009-02-04","287004","291504","272496","282900","1870","117.9"
"2009-02-05","290904","291504","280200","286500","1387","119.4"
"2009-02-06","290004","293904","273000","279396","927","116.4"
"2009-02-09","283404","283404","255096","255300","1037","106.4"
"2009-02-10","260004","267300","256200","265800","589","110.8"
"2009-02-12","266196","272004","258000","262800","737","109.5"
"2009-02-13","264996","270000","260304","263904","671","110"
"2009-02-16","265404","271896","262104","268296","429","111.8"
"2009-02-17","272304","275004","261996","273000","444","113.8"
"2009-02-18","261996","269004","256104","257004","507","107.1"
"2009-02-19","260004","260004","236004","236496","1010","98.5"
"2009-02-20","236004","236004","203004","207504","1625","86.5"
"2009-02-23","207804","213000","193704","210000","1470","87.5"
"2009-02-24","198000","219396","192096","219000","1332","91.3"
"2009-02-25","228000","238596","222996","230400","783","96"
"2009-02-26","226404","237000","222000","225000","674","93.8"
"2009-02-27","221100","222996","212496","215604","436","89.8"
"2009-03-02","207504","215796","201996","204504","253","85.2"
"2009-03-03","197004","201504","195000","199104","413","83"
"2009-03-04","197904","211896","192300","207996","487","86.7"
"2009-03-05","214704","214704","208200","208200","261","86.8"
"2009-03-06","204996","206004","196404","196500","252","81.9"
"2009-03-09","202500","202500","195096","195696","165","81.5"
"2009-03-10","195096","195204","184896","186000","555","77.5"
"2009-03-11","192000","192000","188196","190596","228","79.4"
"2009-03-12","191604","194904","189996","194904","143","81.2"
"2009-03-13","200496","206004","200004","203004","294","84.6"
"2009-03-16","207000","209904","201996","202596","382","84.4"
"2009-03-17","206400","206400","201996","203304","374","84.7"
"2009-03-18","206496","210504","204996","208500","413","86.9"
"2009-03-19","212496","231996","207300","210696","1066","87.8"
"2009-03-23","213504","226896","213504","225900","632","94.1"
"2009-03-24","237900","251904","233196","251604","1281","104.8"
"2009-03-25","260004","267504","256500","264000","1140","110"
"2009-03-26","260004","260004","248700","253896","481","105.8"
"2009-03-27","254100","259896","240000","244404","529","101.8"
"2009-03-30","240000","240996","228000","228000","718","95"
"2009-03-31","220104","230004","220104","220296","671","91.8"
"2009-04-01","221004","224304","215196","219300","812","91.4"
"2009-04-02","225996","231804","221304","231600","917","96.5"
"2009-04-03","239604","247104","235896","240900","836","100.4"
"2009-04-06","244896","247296","241500","243504","675","101.5"
"2009-04-07","247500","248400","245004","247896","510","103.3"
"2009-04-08","242496","245304","239904","240000","595","100"
"2009-04-09","243504","254700","243504","252996","542","105.4"
"2009-04-10","259896","260004","249996","252900","455","105.4"
"2009-04-13","251496","255996","251496","253404","233","105.6"
"2009-04-14","246000","249000","240996","242196","345","100.9"
"2009-04-15","242304","250800","240996","249696","330","104"
"2009-04-16","249696","252600","242004","246000","290","102.5"
"2009-04-17","249996","251004","246396","250104","219","104.2"
"2009-04-20","253500","259800","251604","258996","231","107.9"
"2009-04-21","251004","251100","241296","249696","432","104"
"2009-04-22","253704","253704","240804","241500","319","100.6"
"2009-04-23","240000","248496","238104","245904","521","102.5"
"2009-04-24","248004","266004","245496","254796","1310","106.2"
"2009-04-27","262404","262404","253500","255300","788","106.4"
"2009-04-28","255204","259296","240204","240204","544","100.1"
"2009-04-30","241104","246204","241104","242796","272","101.2"
"2009-05-01","247596","257604","244800","248304","650","103.5"
"2009-05-07","260004","266904","258000","266796","785","111.2"
"2009-05-08","273900","293100","273300","290904","1650","121.2"
"2009-05-11","297804","298896","285600","289896","941","120.8"
"2009-05-12","288000","297000","284004","294996","972","122.9"
"2009-05-13","295500","315000","295500","312000","1081","130"
"2009-05-14","309996","324000","306996","318996","1195","132.9"
"2009-05-15","324996","333000","312996","314004","1248","130.8"
"2009-05-18","318996","321000","311004","315000","495","131.3"
"2009-05-19","315996","324996","314004","318996","470","132.9"
"2009-05-20","321000","323004","315996","318000","379","132.5"
"2009-05-21","318996","318996","303996","308004","418","128.3"
"2009-05-22","298104","315000","295404","309996","521","129.2"
"2009-05-25","309996","329004","309996","329004","567","137.1"
"2009-05-26","324000","350004","324000","341004","935","142.1"
"2009-05-27","345000","354000","324996","327000","895","136.3"
"2009-05-28","329004","339996","324996","327000","542","136.3"
"2009-05-29","324996","330996","321000","327996","549","136.7"
"2009-06-01","330996","333996","329004","330996","326","137.9"
"2009-06-02","336000","350004","324000","342000","985","142.5"
"2009-06-03","341004","357996","339000","347004","821","144.6"
"2009-06-04","345996","354996","341004","344004","423","143.3"
"2009-06-05","348000","348996","336000","339996","293","141.7"
"2009-06-08","342000","345996","333996","338004","275","140.8"
"2009-06-09","339000","339996","330996","338004","346","140.8"
"2009-06-10","336000","339000","333996","339000","85","141.3"
"2009-06-11","341004","341004","333996","336000","133","140"
"2009-06-12","333000","335004","326004","330000","362","137.5"
"2009-06-15","330996","333996","323004","326004","309","135.8"
"2009-06-16","318000","332004","317004","321000","258","133.8"
"2009-06-17","315996","327996","315996","324000","241","135"
"2009-06-18","329004","330000","318996","318996","159","132.9"
"2009-06-19","321996","324996","318000","318000","327","132.5"
"2009-06-22","318000","342996","317004","336000","1066","140"
"2009-06-23","330000","351000","326004","347004","1048","144.6"
"2009-06-24","353004","356004","327000","335004","719","139.6"
"2009-06-25","335004","345000","324996","339000","289","141.3"
"2009-06-26","345000","345000","330996","339996","416","141.7"
"2009-06-29","344004","344004","327996","330000","570","137.5"
"2009-06-30","336000","342000","335004","338004","313","140.8"
"2009-07-01","339996","351000","339996","348000","676","145"
"2009-07-02","350004","354000","342000","353004","598","147.1"
"2009-07-03","348000","366996","342000","365004","1274","152.1"
"2009-07-06","369996","372996","357000","363000","581","151.3"
"2009-07-07","363000","368004","353004","357000","391","148.8"
"2009-07-08","348000","354996","345996","350004","343","145.8"
"2009-07-09","345000","345996","330996","332004","422","138.3"
"2009-07-10","330000","339000","330000","330996","247","137.9"
"2009-07-13","330000","332004","305004","309996","420","129.2"
"2009-07-14","320004","320004","312000","314004","131","130.8"
"2009-07-15","315000","327996","314004","324000","231","135"
"2009-07-16","333000","333000","320004","320004","233","133.3"
"2009-07-17","321996","327996","321996","324000","100","135"
"2009-07-21","333000","333996","327000","333000","211","138.8"
"2009-07-22","336996","351996","333000","351000","246","146.3"
"2009-07-23","348000","359004","342000","342996","281","142.9"
"2009-07-24","350004","357996","339996","344004","423","143.3"
"2009-07-27","345000","351000","345000","348996","116","145.4"
"2009-07-28","354000","357000","351000","351996","240","146.7"
"2009-07-29","353004","356004","351996","354996","260","147.9"
"2009-07-30","357000","357996","345000","350004","237","145.8"
"2009-07-31","345000","348000","330996","333000","618","138.8"
"2009-08-03","339000","353004","336000","353004","552","147.1"
"2009-08-04","351000","357000","345996","348000","292","145"
"2009-08-05","353004","365004","347004","357996","781","149.2"
"2009-08-06","357000","362004","351000","359004","468","149.6"
"2009-08-07","354996","356004","342996","348000","379","145"
"2009-08-10","354996","354996","348000","351996","273","146.7"
"2009-08-11","351996","357000","348996","354996","634","147.9"
"2009-08-12","351996","360996","351996","354996","423","147.9"
"2009-08-13","354996","365004","353004","363000","571","151.3"
"2009-08-14","360000","390996","360000","381996","1102","159.2"
"2009-08-17","380004","380004","369996","372996","416","155.4"
"2009-08-18","369996","377004","360000","372000","368","155"
"2009-08-19","372996","383004","369000","380004","343","158.3"
"2009-08-20","380004","393000","378000","384996","606","160.4"
"2009-08-21","390000","390000","369996","372996","240","155.4"
"2009-08-24","378000","381996","372000","372000","137","155"
"2009-08-25","374004","375000","368004","369000","187","153.8"
"2009-08-26","378996","384000","375996","383004","323","159.6"
"2009-08-27","378000","390996","378000","387996","475","161.7"
"2009-08-28","390000","402000","390000","402000","550","167.5"
"2009-08-31","402996","402996","392004","393996","167","164.2"
"2009-09-01","390996","416004","390000","414000","313","172.5"
"2009-09-02","411000","428004","402996","426000","661","177.5"
"2009-09-03","422004","426000","408000","411000","286","171.3"
"2009-09-04","410004","411000","399000","408996","179","170.4"
"2009-09-07","413004","414000","396000","398004","149","165.8"
"2009-09-08","407004","428004","404004","423996","478","176.7"
"2009-09-09","423996","437004","420000","432000","579","180"
"2009-09-10","432000","441996","432000","440004","343","183.3"
"2009-09-11","438996","447000","429996","438996","408","182.9"
"2009-09-14","431004","449004","429996","447996","300","186.7"
"2009-09-15","450000","492996","449004","459000","1419","191.3"
"2009-09-16","450996","450996","426000","429000","788","178.8"
"2009-09-17","429000","447996","417000","420000","417","175"
"2009-09-18","423996","431004","410004","429996","422","179.2"
"2009-09-24","429996","438996","426000","438000","257","182.5"
"2009-09-25","435996","437004","423000","426996","108","177.9"
"2009-09-28","428004","428004","404004","410004","288","170.8"
"2009-09-29","417000","419004","395004","401004","257","167.1"
"2009-09-30","399996","408000","395004","407004","312","169.6"
"2009-10-01","405000","405996","395004","395004","179","164.6"
"2009-10-02","381000","399000","381000","396996","204","165.4"
"2009-10-05","401004","405000","392004","402000","159","167.5"
"2009-10-06","407004","423996","393996","420000","373","175"
"2009-10-07","420000","429000","420000","426000","387","177.5"
"2009-10-08","429996","432996","423000","423000","225","176.3"
"2009-10-09","423000","429996","420000","428004","132","178.3"
"2009-10-13","428004","432996","422004","428004","178","178.3"
"2009-10-14","431004","431004","414000","416004","279","173.3"
"2009-10-15","426000","426000","411996","414000","241","172.5"
"2009-10-16","408996","408996","398004","401004","236","167.1"
"2009-10-19","408996","413004","401004","411996","163","171.7"
"2009-10-20","411996","419004","396996","399996","325","166.7"
"2009-10-21","399996","402996","398004","401004","235","167.1"
"2009-10-22","398004","410004","398004","410004","509","170.8"
"2009-10-23","410004","419004","405000","414996","285","172.9"
"2009-10-26","414996","417000","411996","414000","324","172.5"
"2009-10-27","417996","417996","396000","399000","501","166.3"
"2009-10-28","401004","402000","396000","396000","206","165"
"2009-10-29","395004","407004","384000","405996","433","169.2"
"2009-10-30","410004","411996","405000","407004","148","169.6"
"2009-11-02","398004","408000","393000","402996","252","167.9"
"2009-11-04","398004","411000","398004","411000","132","171.3"
"2009-11-05","405996","408996","396996","398004","214","165.8"
"2009-11-06","402996","402996","393996","395004","115","164.6"
"2009-11-09","396996","396996","381996","383004","164","159.6"
"2009-11-10","384000","390000","369000","369996","338","154.2"
"2009-11-11","368004","383004","363000","365004","209","152.1"
"2009-11-12","360000","360000","341004","345000","794","143.8"
"2009-11-13","345996","353004","341004","344004","287","143.3"
"2009-11-16","344004","344004","303996","306996","523","127.9"
"2009-11-17","312000","320004","294000","299004","1098","124.6"
"2009-11-18","302004","315000","300000","309996","787","129.2"
"2009-11-19","320004","342000","312996","339000","476","141.3"
"2009-11-20","344004","363000","336000","353004","992","147.1"
"2009-11-24","353004","353004","321000","321000","333","133.8"
"2009-11-25","321000","321996","308004","320004","282","133.3"
"2009-11-26","320004","348000","315996","348000","449","145"
"2009-11-27","336000","347004","327000","327996","352","136.7"
"2009-11-30","333996","342000","330996","338004","241","140.8"
"2009-12-01","339000","354000","333000","348996","259","145.4"
"2009-12-02","348996","363000","348996","360000","235","150"
"2009-12-03","368004","375000","363000","368004","330","153.3"
"2009-12-04","369000","369000","354996","360996","228","150.4"
"2009-12-07","366000","366000","351996","354996","112","147.9"
"2009-12-08","354000","357000","341004","342996","248","142.9"
"2009-12-09","341004","344004","335004","344004","116","143.3"
"2009-12-10","345996","359004","336000","336000","441","140"
"2009-12-11","339996","342996","321996","327996","383","136.7"
"2009-12-14","333996","335004","326004","333000","178","138.8"
"2009-12-15","335004","345000","332004","339996","240","141.7"
"2009-12-16","350004","350004","335004","339000","352","141.3"
"2009-12-17","342000","359004","336996","354996","427","147.9"
"2009-12-18","351000","362004","350004","357996","283","149.2"
"2009-12-21","357996","366000","354000","363996","251","151.7"
"2009-12-22","362004","369996","357000","366996","288","152.9"
"2009-12-24","369996","372996","362004","362004","209","150.8"
"2009-12-25","359004","363000","354000","354996","160","147.9"
"2009-12-28","345996","354000","342000","351000","286","146.3"
"2009-12-29","356004","362004","353004","362004","164","150.8"
"2009-12-30","359004","365004","345000","345000","490","143.8"
